Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
CITY LIFE HOLDING," la societe a pour objet, tant au maroc qu'a l'etranger, pour son compte ou pour le compte de tiers : la souscription, l'acquisition, l'achat, la vente, la negociation, la cession d'actions, de parts, d'obligations et d'une maniere generale de toutes valeurs mobilieres creees par toutes societes ou personnes morales, quels que soient la forme et l'objet . la participation, directement ou indirectement, dans toutes operations realisees par ces societes ou personnes morales ; l'administration, la gestion et la liquidation de toutes societes ou personnes morales ; toutes operations financieres a realiser par voie d'apports, de souscription, d'achats, de ventes de titres et de droits sociaux, de parts sociales et de commandite, de fusion, d'association, de participation ou de creation de societes filiales",N/A,N/A,35.766667 : -5.8, 31383,Tribunal de Tanger, 000066735000027,Societe a Responsabilite Limitee, 102 000 
AMERICAINE DE PNEUMATIQUES ET DE PIECES DETACHEES (STE) (SAMEPID), marchand de pneumatiques au detail, 290 Bd Ahmed Sebagh,Casablanca,33.578527 : -7.589932, 51625,Tribunal de Casablanca,,Societe Anonyme, 100 000 
MAROCAINE D'EQUIPEMENT DE BATIMENT ET D'AMENAGEMENT TOURISTIQUE (STE) (ARCADE), entrepreneur de batiment, 84 Bd Zerktouni,Marrakech,31.637049 : -8.011815, 5643,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
MAROCAINE DU MATERIEL ET D'EXPLOITATION (STE) (SOMADU), commerce materiel neuf et d'occasion import l' export, Rue My Smail N79,Rabat,34.01816 : -6.8247, 22597,Tribunal de Rabat,,Societe Anonyme, 10 000 
CARREFOUR DES AFFAIRES D'IMPORT-EXPORT EL AYOUBIA, marchad effectuant import-export, 3 Rue Abou Assalt Anda&loussi 4 Eme Etage N 8 Maarif,Casablanca,33.58239 : -7.63286, 80007,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 300 000 
VICTORIA (AGENCE)," toutes operations commerciales financieres, transactions, immobilieres, gerance, redaction d'actes etc...", 70 Rue Abdellah Almediouni,Casablanca,33.59212 : -7.61274, 56131,Tribunal de Casablanca,,Societe Anonyme, 100 000 
EQUIMOX NEGOCE, import-export, 201 Rue Abou Zaid Dadoussi,Casablanca,33.5834 : -7.63732, 89607,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
AJMOU DES TRAVAUX DU SUD (ESE), entreprise de construction, 223 Lakhyam 1,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 4427,Tribunal de Agadir,,Societe a Responsabilite Limitee, 50 000 
MAISERIES DE LA MEDITERRANNEE (STE LES), l'industrie et le commerce achat vente commission consignation du mais des grains de leurs derives de tous produits d'origine agricole etc, 31 Rue Labas,Casablanca,33.593605 : -7.617865, 13057,Tribunal de Casablanca,,Societe Anonyme, 28 000 000 
WITAG (WITAG), commerce en generale de tous produits, 5 Rue De Bapaume,Casablanca,33.58694440000001 : -7.6111111000000164, 20949,Tribunal de Casablanca,,Societe Anonyme, 200 000 
CHEMICAL PROCESS MAROC (STE)," entretien sous toutes ses formes de tous objets, de toutes marchandises de toutes sortes en daim, cuirs, fourures ou autres, achat-vente", 350 Rue De L'aviation Francaise,Casablanca,33.58795 : -7.61764, 26057,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
MULTI SERVICE ARTISANAL (MULSERAR), marchand effectuant import-export, Rue Al Yassamine Secteur 1 Hay Salam,Sale,34.036539 : -6.80378, 1617,Tribunal de Sale,,Societe a Responsabilite Limitee, 20 000 
AMG. MINERAUX," negoce en tout genre de mineraux et fossiles, expositions et evenementiel, import export", Imm D 4 Al Manar 2 Bmo,Meknes,33.894082 : -5.544582, 25231,Tribunal de Meknes, 000099281000008,Societe a Responsabilite Limitee, 10 000 
DOUL PIECES DETACHEES," md de pieces detachees pour voitures + md de machines outils, materiels industiels + import export",N/A,N/A,33.594516 : -7.628428, 97413,Tribunal de Casablanca, 001428505000087,Societe a Responsabilite Limitee, 100 000 
CAFE LE PERDREAU, tenant un salon de the," 2, Imm 70 Hay Lafrougui, Av. Mohammed V",Sale,34.05398 : -6.79481, 7871,Tribunal de Sale,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
CAP EVASION (STE)," agence de voyages, location de voitures", Rue Loubnane Imm 10 N13 Gueliz,Marrakech,31.635917 : -8.010144, 8871,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 300 000 
ORIENTAL-SBAGHA-BOUZIDI ET CONSORT, exploitation d'un atelier de tolerie et carrosserie automobile, 39 Avenue Allal El Fassi Hay Ryad,Oujda-Angad,34.6866667 : -1.91138890000002, 14859,Tribunal de Oujda,,Societe en Nom Collectif, 45 000 
ATLAS IMLIL," materiaux de construction, ese de travaux divers et construction", Lot Bougaffar N283 Ait Bra,Tinghir (M),30.91987 : -6.8935390000000325, 1277,Tribunal de Tinghir,,Societe a Responsabilite Limitee, 220 000 
FAMILIALE POUR LE DEVELOPPEMENT DU NORD (STE) (SOFADEN)," travaux de rectification renovation et mise en point des moteurs et circuits diesel, vente du pieces detachees industrielle etc...", Av De La Resistace N28,Larache,35.190418 : -6.157335, 91,Tribunal de Larache,,Societe a Responsabilite Limitee, 56 000 
KOLLEIN, exploitation agricole transformation et commerce de produits vegetaux animaux et mineraux, 10 Rue Mayer,Rabat,34.015049 : -6.83272, 15159,Tribunal de Rabat,,Societe a Responsabilite Limitee, 1 000 000 
ARABO AFRICAINE D'AGRICULTURE ET D'AGRO INDUSTRIE, entrepreneur de travaux divers (travaux ayant trait a l'agro industrie et agronomie), Avenue Mohamed V N474,Kenitra,34.279352 : -6.544314, 25139,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 10 000 
MAROCCO ESPAGNE (STE DE FERRAILLE)," vente locale ou l'export de tous articles de metal, achetes localement ou l'import, fabrication, representation", Boulevard Ain Sebaa,Casablanca,33.533333 : -7.583333, 33953,Tribunal de Casablanca,,Societe Anonyme, 10 000 
MAROCO-COREENNE DE PECHE (STE) (SMACOP)," acquisition, affretement, exploitation de tous navires", 10 Avenue Des Far,Casablanca,33.56631 : -7.56361, 35293,Tribunal de Casablanca,,Societe Anonyme, 8 000 000 
KUNAIT (KUNAIT), industrie de confection, Rue Toledo,Tanger-Assilah,35.76025 : -5.782748, 10989,Tribunal de Tanger,,Societe a Responsabilite Limitee, 500 000 
INFRA REISEN, organisation de circuits touristiques et exploitation de toutes activites touristiques, 33 Rue Saidia Hay Essalam,Berkane,34.925604 : -2.320583, 217,Tribunal de Berkane,,Societe a Responsabilite Limitee, 10 000 
ESPACE MOULAY ISMAIL," la societe a pour objet : snack, restauration, debit de boissons ; la realisation et livraison de repas le negoce en general, l'achat, la vente, la representation sous toutes ses formes de tout article ou produit etranger de toute provenance et de tout produit marocain a l'etranger", 301 Bis Bd Moulay Ismail,Casablanca,33.58694440000001 : -7.6111111000000164, 162879,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
JAI FRERES (EL), marchand effectuant import-export, 11 Rue Figuig,Rabat,34.013589 : -6.828259, 41709,Tribunal de Rabat,,Societe Anonyme, 100 000 
SOCIETE DES SERVICES ET TRAVAUX DIVERS LE BUT, travaux divers + services + negoce, Rue Mediterane Hay Elrgharasse Imm N 1 App 3,Tetouan,35.572464 : -5.375723, 5281,Tribunal de Tetouan, 000520954000018,Societe a Responsabilite Limitee, 100 000 
ABOUHAM HALIB, distribution alimentaire, 37 Rue Ait Ourir,Casablanca,33.598 : -7.63434, 145323,Tribunal de Casablanca, 001639637000019,Societe en Nom Collectif, 10 000 
MEKNES SEL, bas en detail, Route Meknasa Oued Lehdar,Taza (M),34.2238889 : -4.0066666999999825, 12E,Tribunal de Taza,,Societe a Responsabilite Limitee, 10 000 
COCONUT EQUINOXE SPORTS WEAR, fabrication des vetements moyennant l'utilisation de tous les materiels de coupe couture impression broderie et tissage de cotonnades etc..., 3 Rue Dawud Dahiri Hay El Maarif,Casablanca,33.586247 : -7.63282, 44433,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000 
IMPORTEX MAROC (STE)," negoce, achat, vente, fabrication de produits, marchandises, articles et denrees, commerce, confection, creation, acquisition, mise en valeur...", 172 Bd Ziraoui,Casablanca,33.59874 : -7.62782, 31731,Tribunal de Casablanca,,Societe Anonyme, 100 000 
CONSULTING AND TRANSACTION COMPANY, recouvrement des creances et tout ce qui en suit (gestion de valeur mobilier)," N61, Hay Salam Rue Jabal Azourki",Casablanca,33.56873 : -7.65543, 97465,Tribunal de Casablanca, 000528527000023,Societe en Nom Collectif, 100 000 
PRODUITS NATURELS ET DE SYNTHESE (STE DE), traitements fabrication preparation achat et vente pour son compte ou a commission de tous produits naturels ou chimiques destines a l'industrie, 110 Rue Colbert,Casablanca,33.59292 : -7.61403, 17395,Tribunal de Casablanca,,Societe Anonyme, 2 000 
SANAA ELECTRIQUE, entrepreneur d'installations electriques, Rue Abou Derr N44,Rabat,33.98965 : -6.84902, 27915,Tribunal de Rabat,,Societe a Responsabilite Limitee, 20 000 
EL MANSOURI ABDOURABBIH TRAVAUX, travaux de construction, Saada 5 N20 Lamhamid,Marrakech,31.674664216 : -8.016562152, 18593,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
DERB EL AIN (STE IMMOBILIERE DU)," acquisition, administration et mise en valeur d'une propriete situee a meknes", Derb El Ain,Meknes,33.894082 : -5.544582, 9989,Tribunal de Fes,,Societe a Responsabilite Limitee, 3 000 000 
STE MAROQUINERIE DE LUXE (SOMALUX), exploitant etablissement pour la fabrication de vetements confectionnes, 55 Rue 3 Hay El Mernissi Sidi Brahim,Fes,34.0333333 : -5, 17779,Tribunal de Fes,,Societe a Responsabilite Limitee, 50 000 
ELYSEE COUTURE, fondation et exploitation fonds de commerce lingerie nouveautes, Boulevard Poeymirau,Fes,34.035872 : -4.997663, 3332,Tribunal de Fes,,Societe a Responsabilite Limitee, 50 000 
PROVINUM (CIE INDUSTRIELLE) (PROVINUM), toutes operations industrielles agricoles ou commerciales, 25 Avenue Du General Moinier,Casablanca,33.595016 : -7.61879, 13481,Tribunal de Casablanca,,Societe Anonyme, 4 000 000 
FIDUCIAIRE OUHOD," entrepreneur de travaux de comptabilite, etude economiques et sociales", Appt N 9 Imm 12 Lot Belbaraka Zankat Sidi Battache Hay Linbiat,Sale,34.047401 : -6.782076, 7733,Tribunal de Sale, 001642740000046,Societe a Responsabilite Limitee, 20 000 
DISTRIBUTEC (DISTRIBUTEC), import-export, 3 Rue Mohamed Abdou,Casablanca,33.574482 : -7.608521, 66957,Tribunal de Casablanca,,Societe Anonyme, 10 000 
H L S TRANSIT ET CONSEIL," -toutes operations de transit, d'affretement, de manutention ainsi que toutes operations en douane, - le transport terrestre et maritime de toutes marchandises. - toutes operations de commerce tant sur le marche interieur qu'a l'importation, et a l'exportation ainsi que toutes operations de commission, de representation, de courtage et de consignation relatives a toutes marchandises ainsi qu'a tous produits bruts ou manufactures. - et plus generalement toutes operations commerciales, industrielles, mobilieres, immobilieres et financieres se rattachant directement ou indirectement, en totalite ou en partie a l'un quelconque des objets specifies ou a tous objets similaires ou connexes ou favorisant leur developpement",N/A,N/A,33.60219 : -7.63155, 168003,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
SOCIETE ROUAGAS," la societe a pour objet: * travaux de lotissement. *promotion immobiliere. *genie civil. *travaux de construction. * travaux divers. et plus generalement, toutes operations commerciales, industrielles, financieres, mobilieres ou immobilieres se rattachant directement ou indirectement aux objets precites ou pouvant favoriser le developpement de la societe."," 46, Rdc, Lotissement Nassim Ii",El-Jadida (M),33.222184 : -8.491952, 5161,Tribunal de Eljadida,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
FINANCIERE TRANSAFRICAINE (STE), etudes toutes affaires toutes operations de banque credit change et commission toutes operations s'y rattanchat etc, Immeuble Du Parc Fedala,Casablanca,33.58694440000001 : -7.6111111000000164, 4583,Tribunal de Casablanca,,Societe Anonyme, 35 000 000 
DELICA (FABRIQUE DE CONSERVES DE LEGUMES FRUITS ET CONDIMENTS), la fabrication des conserves alimentaires notamment de legumes fruits et condiments, Angle Rue De Geronne Et Route De Mediouna,Casablanca,33.564944 : -7.595563, 5189,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 4 500 000 
REALISATION TECHNIQUE ET MAINTENANCE (STE DE) (SRTM), entrepreneur de constructions metalliques, 73 Derb Najat,Casablanca,33.5144107962 : -7.6530581277, 61941,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
LES NOUVELLES TECHNOLOGIES DE L'INDUSTRIE AGRO ALIMENTAIRE (NOTIA), traitement du lait fabrication des fromages et des divers laiterie, Cercle Belfaa Douar Ait Lahcen Inechaden,Chtouka- Ait Baha,30.049432 : -9.564926, 6429,Tribunal de Agadir,,Societe a Responsabilite Limitee, 2 400 000 
GB INTER NEGOCE, negociant, Massira Ii B N 601 Garage N 2,Marrakech,31.633721744 : -8.066850949, 23103,Tribunal de Marrakech, 000201043000056,Societe a Responsabilite Limitee, 10 000 
UNIVERS MOQUETTE (STE), marchand effectuant importation et exportation (meubles tissus moquettes), 5 Impasse Av Moulay Ismail,Rabat,34.023435 : -6.829455, 42763,Tribunal de Rabat,,Societe a Responsabilite Limitee, 400 000 
TRAVAUX DE CONSTRUCTION LA REUSSITE, travaux de construction des batiments ventes et achats des materiaux de construction travaux divers, Rue Ibno Chahid Branes 1 Au N 56,Tanger-Assilah,35.762941 : -5.832972, 26437,Tribunal de Tanger, 000226364000045,Societe a Responsabilite Limitee, 100 000 
AUBERGE RESTAURANT CHEZ TEBBOU (STE)," maitre d'hotel, restaurateur", Dr Ait Haddou,Ouarzazate,30.91987 : -6.8935390000000325, 693,Tribunal de Ouarzazate,,Societe a Responsabilite Limitee, 200 000 
INDUSTRIELLE DE CONSTRUCTIONS MECANIQUES (STE) (SIMECAM), l'industrie et le commerce de tout ce qui se rattache a la mecanique la tolerie et la peinture, Bd De Lyon N73 A 77,Casablanca,33.58694440000001 : -7.6111111000000164, 22197,Tribunal de Casablanca,,Societe Anonyme, 100 000 
WILKMAN (RADIO)," marchand d'appareils de radiophonie, television", 21 Bd Raphael,Casablanca,33.580262 : -7.630217, 40591,Tribunal de Casablanca, 001514213000003,Societe a Responsabilite Limitee, 300 000 
ICCNEM (STE) (ICCNEM), tenant bureau d'etudes (informatiques et bureautiques), Rue Oujda N4bis Ap 7,Rabat,34.019434 : -6.82157, 41077,Tribunal de Rabat,,Societe Anonyme, 100 000 
HAYAT CONFECTION," fabrication, commercialisation des articles d'habillement", 33 Rue 47 Groupe Y Hay El Oulfa,Casablanca,33.5564236661 : -7.67990817114, 59639,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
OUM EL KHEIR (STE), entrepreneur de travaux divers ou construction, Rue My Driss N5 Ap 8,Rabat,33.943664 : -6.892041, 40381,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
KASBAH HAND ARTS," fabricant et marchand de meubles (et divers articles d'artisanat), marchand exportateur (d'articles d'artisanat)", Boutouil Kasbah N 7,Marrakech,31.633333 : -8, 22063,Tribunal de Marrakech, 000070407000017,Societe a Responsabilite Limitee a Associe Unique, 100 000 
CANADIAN AMERGRAIN MERCHANTS," negoce, importation-exportation de toutes denrees", 10 Rue Colbert,Casablanca,33.59581 : -7.61245, 28627,Tribunal de Casablanca,,Societe Anonyme, 10 000 
TECHNIQUE MONTAGE ET REPRESENTATION INDUSTRIELLE), exploitant d'un atelier pour reparations industrielles (service technique et montage des moulins de pates), Im G Yasmina I El Bassatine N8$,Meknes,33.894082 : -5.544582, 19767,Tribunal de Meknes, 000534557000076,Societe a Responsabilite Limitee, 100 000 
FRANCAIS (STE LE MATERIEL), location garage de travaux publics commerce de toutes matieres produits bruts ou manufactures entretien reparation de tout materiel mecanique..., Ain Sebaa Allee Des Cactus,Casablanca,33.58694440000001 : -7.6111111000000164, 7703,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 000 
AEM (STE) (AEM)," achat-vente, commerce en general de toutes matieres et denrees materiel et marchandises divers, tous vehicules routieres agricoles", 89 Rue Abdellah Al Mediouni,Casablanca,33.59212 : -7.61274, 29073,Tribunal de Casablanca,,Societe Anonyme, 10 000 
ASUITEX, confection, Rue 3 N46 Quartier Belaire,Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 14429,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000 
HAUTE PRESSION INDUSTRIELLE (HPI), atelier de chaudronnerie, 116-118 Bd Bir Anzarane,Tan-Tan,28.437744 : -11.089606, 205,Tribunal de Tantan,,Societe a Responsabilite Limitee, 200 000 
SULABBAD (SULABBAD), l'acquisition et l'exploitation de l'ets hotelier de l'hotel de sylly l'amenagement l'agrandissement l'amelioration de cet etablissement etc..., 284 Bd Rahal El Meskini,Casablanca,33.587805 : -7.61349, 42565,Tribunal de Casablanca,,Societe Anonyme, 50 000 
REX ROTARY MAROC (STE), importation diffusion et commerce en general de tout le materiel de bureau fournitures et accessoires, 110 Avenue De L'armee Royale,Casablanca,33.56853 : -7.56009, 21331,Tribunal de Casablanca,,Societe Anonyme, 50 000 
CHICTRANS, toutes operations de transport national et international de marchandises par camion, Avenue Youssef Ibn Tachfine Imm Chaouia 34 3eme Etage,Tanger-Assilah,35.77421 : -5.80235, 14107,Tribunal de Tanger,,Societe a Responsabilite Limitee, 1 500 000 
SICOPROME (SICOPROME)," commercialisation, fabrication de materiel medical et para-medical", 12 Rue Abdelouaheb Darrak,Safi,32.309897 : -9.232274, 807,Tribunal de Safi,,Societe a Responsabilite Limitee, 100 000 
SUNNY TOURS, transport touristique,N/A,N/A,30.427755 : -9.598107, 12839,Tribunal de Agadir, 001460362000047,Societe a Responsabilite Limitee, 50 000 
MAROC DIESEL DISTRIBUTION," concessionnaire de services telephonique, exploitant machines pour tirages et production de plans, photocopie", Rue Oued Souss N12,Rabat,34.00061 : -6.84494, 41247,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
AGADIR (DROGUERIE), droguerie quincaillerie et tous leurs divers etc..., 668 Route De Mediouna,Casablanca,33.564944 : -7.595563, 38119,Tribunal de Casablanca,,Societe Anonyme, 60 000 
SUCCES IMMO SERVICES, entrepreneur de travaux divers ou de construction -entrepreneur de batiment ( tout corps d'etat)-negociant," 357, Bd Mohamed V 1er Etage Espace A/6",Casablanca,33.59343 : -7.60167, 151125,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
SAKIBAT, entrp des travaux divers," 35, Rue Al Ghazali, Cite Dakhla",Agadir (M),30.407915 : -9.55897, 11069,Tribunal de Agadir, 000075440000023,Societe a Responsabilite Limitee a Associe Unique, 100 000 
SOURCE MEDICALE AUDIT, marchand importateur materiel informatique produits para-pharmaceutiques, Bd D'anfa N36 12eme Etage Appt 16,Casablanca,33.59249 : -7.63281, 73759,Tribunal de Casablanca, 000513971000088,Societe a Responsabilite Limitee, 50 000 
STE BILI YACINE BATIMENTS (BILIYAC), tous travaux de batiments, 56 Av My Ali Charif Tarraste Bp N 3752 Masdoura 80 353 Ville D'inezgane,Inezgane- Ait Melloul,30.352516 : -9.546319, 1877,Tribunal de Inzegane, 001463907000071,Societe a Responsabilite Limitee, 100 000 
LOULOUA," travaux de construction et de genie civil, toutes operations de promotion immobiliere", Bd De La Grande Ceinture,Casablanca,33.564484 : -7.58056, 95027,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
KHADRAA (STE AL), sondeur ou foreur de puits, Hay Chemaou Lot 601,Sale,34.037053 : -6.817093, 2095,Tribunal de Sale,,Societe a Responsabilite Limitee, 100 000 
RECUPERATIONN D'ACHATS ET DE VENTES (CENTRE DE), recuperation de matieres de toute nature achat vente de toutes matieres et marchandises, Val Fleuri Rue Claude Ferrault,Casablanca,33.58694440000001 : -7.6111111000000164, 21667,Tribunal de Casablanca,,Societe Anonyme, 20 000 
DATA ENVIRONEMENT (STE), bureau d'etudes, Hay El Fath Imm N134 Apt N2,Rabat,33.9667696852 : -6.90156200212, 49365,Tribunal de Rabat,,Societe en Nom Collectif, 100 000 
REQUIN TEX, la fabrication des vetements confectionnes, 11-13 Rue 146 Groupe M Hay El Oulfa,Casablanca,33.5564236661 : -7.67990817114, 52353,Tribunal de Casablanca,,Societe en Commandite Simple, 40 000 
FEDERAL CARROSSERIE ET MECANIQUE AUTO, carrosserie et mecanique, N 55 Zone Industrielle Takaddoum,Rabat,34.015049 : -6.832719999999995, 55319,Tribunal de Rabat, 000529432000032,Societe en Nom Collectif, 100 000 
UNION FRANCAISE DU LIVRE, representation diffusion location de livres, 34 Bd De La Gare,Casablanca,33.61282 : -7.53233, 22399,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
SOUSS (CIE IMMOBILIERE DE LA REGION DU) (CIRSO), operation immobilieres a l'exclusion, 24 Rue Gallieni,Casablanca,33.580825 : -7.623784, 3005,Tribunal de Casablanca,,Societe Anonyme, 500 000 
CHARMANT CHEMICAL PRODUITS," fabrication, commerce de tous produits pour le menage, l'entretien, le nettoyage et la toilette", 56 Rue De Provins,Casablanca,33.592067 : -7.600887, 20915,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 90 000 
VATMA M'NASRA (STE), vente achat montage de tout materiel destines a l'agriculture, Lotissement Zahia N7 Boufekrane,Meknes,33.758134 : -5.485221, 19789,Tribunal de Meknes, 000534560000092,Societe a Responsabilite Limitee, 100 000 
SAHIMAK (SAHIMAK), marchand exportateur de plusieurs especes de marchandises (produits de la mer), Lotissement Seyad Bir Rami Lot 661,Kenitra,34.257394 : -6.590154, 24947,Tribunal de Kenitra,,Societe Anonyme, 100 000 
NJ IMMO MAROC, toute forme de transaction immobiliere, 110 Lotiseement Wafaa Residence Wafaa 6 2 Etage,Mohammedia,33.6833333 : -7.383333300000004, 4795,Tribunal de Mohammedia, 000016002000081,Societe a Responsabilite Limitee, 100 000 
AUDISOFT, expertise comptable et d'audit, 61 Bd De La Resistance Ain Sebaa,Casablanca,33.583045 : -7.603605, 116867,Tribunal de Casablanca, 001526298000016,Societe a Responsabilite Limitee, 100 000 
MAROCAINE D'ETUDES ET DE CONSEILS INDUSTRIELS (STE), etude mise au point et realisation de tous projets industriels, 92 Bd De Paris,Casablanca,33.58694440000001 : -7.6111111000000164, 15891,Tribunal de Casablanca,,Societe Anonyme, 3 000 375 
FARINE BISCUITERIE & PATES ALIMENTAIRES (STE DITE) (FABISPATE), conditionnement et vente de tout produit alimentaire, 1 Rue Abdelaziz Boutaleb,Rabat,34.011704 : -6.853952, 25273,Tribunal de Rabat,,Societe Anonyme, 50 000 
JOYAUX, bijoux en faux, 9 Rue Lakhdar Ghilane,Oujda-Angad,34.686093 : -1.914954, 14557,Tribunal de Oujda,,Societe a Responsabilite Limitee, 10 000 
EVERSTON AUTO (STE), marchand de pieces detachees pour voitures automobiles, Rue Ahmed Rguibi Diour Nejjar,Sale,34.040948 : -6.802667, 1521,Tribunal de Sale,,Societe a Responsabilite Limitee, 20 000 
EXTRA NEGOCE, marchand effectuant import-export, Bd Akid Alaam N15 My Rachid Ii Bournazel,Casablanca,33.55965 : -7.55066, 77801,Tribunal de Casablanca, 000528940000027,Societe a Responsabilite Limitee, 50 000 
EL GHARBI DE DISTRIBUTION DE VOLAILLES (S.G.D.V)," - l'elavage de toutes sortes volailles, ainsi que leur distribution et leur vente, soit au maroc ou a l'etranger. la vente et la distribution de tous les derives de volailles. import export, et plus precisement : toutes operations d'approvisionnement, d'importation et d'exportation de tous produits, materiels et articles se rattachant a l'elevage et a la distribution de toutes sortes de volailles, ainsi que toutes matieres premieres additives et complementaires qui s'y rattachent. ainsi que toutes operations de transport de marchandises. toutes operations d'importation et d'exportation de tous materiels, de courtage et de consignation, relatives a ces objets. la representation de toutes marques, modeles, brevet, ou licence, plus generalement, toutes operations commerciales, industrielles, financie", Hy Bir Chairi Rue 16 N 131,Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 32873,Tribunal de Tanger,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
MAROCAINE DES CARBURANTS SOLIDES (STE) (SMCS), production de tous carburants solides liquides ou gazeux, Rue Savorgnan De Brazza,Casablanca,33.591349 : -7.605787, 4925,Tribunal de Casablanca,,Societe Anonyme, 1 200 000 
GERANCE DE CHALUTIERS (STE DE)," gerance de chalutiers, entreprise a peche et commerce de poissons", Port De Casablanca,Casablanca,33.533333 : -7.583333, 931,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 25 000 
MAROCAINE DE BOUCHAGE (STE), l'industrie et le commerce de bouchons couronnes de tous articles similaires ou connexes, Route De Casablanca,Mohammedia,33.6833333 : -7.383333300000004, 16255,Tribunal de Casablanca,,Societe Anonyme, 63 000 
IBERCAR (IBERCAR), transport, Be Youssef Ibn Tachfine 1er Etage N2,Tanger-Assilah,35.77421 : -5.80235, 4389,Tribunal de Tanger,,Societe a Responsabilite Limitee, 40 000 
KENITEC (KENITEC)," fonderie, mecanique galvanoplastique", Zone Industrielle,Khenifra,32.939321 : -5.665844, 165,Tribunal de Khenifra,,Societe a Responsabilite Limitee, 10 000 
COSIMPEX (STE)," marchand parfumeur en detail, marchand importateur", N5 Rue El Khattaba,Benslimane,33.617924 : -7.122329, 61,Tribunal de Ben Slimane,,Societe Anonyme, 10 000 
MAROCAINE DE TISSUS INDIGENES (STE) (SOMAGETI), import export, 13 Rue De L'aviation Francaise,Casablanca,33.58694440000001 : -7.6111111000000164, 7291,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 2 000 
GALVEZ ET CIE (STE), construction et reparation de carrosserie et tonnellerie, 28 Avenue De Temara,Rabat,34.015049 : -6.832719999999995, 5361,Tribunal de Rabat,,Societe en Nom Collectif, 10 000 000 
ALARME (STE D'ELECTRONIQUE INFROMATIQUE ET SYSTEME D') (SEIS ALARME), marchand importateur entrepreneur d'installation electrique occupant moins de 10 personnes, Lotissement El Medouez N8 Bd Mohamed V,Skhirate- Temara,33.915355 : -6.922258, 29029,Tribunal de Rabat,,Societe a Responsabilite Limitee, 50 000 
STE TOUBKAL FLEURS, vente de fleurs en gros," Km 14,400 Route Ourika Aghouatim",Marrakech,31.580414 : -7.982554, 5033,Tribunal de Marrakech,,Societe Anonyme, 1 000 000 
ATLANTIC PACIFIC PETROLIUM," negoce, import-export (produits petroliers et derives)", 5 Rue De La Mutualite App N2 Racine,Casablanca,33.5884975795 : -7.64845056059, 94281,Tribunal de Casablanca, 001322240000079,Societe Anonyme, 300 000 
JARMI TRAVAUX, entrepreneur de travaux divers marchand de materiaux de construction en detail et loueur de materiels industriels ou de machines outils, Ouled Sidi Ahmed,Laattaouia (M),31.834585 : -7.312464, 647,Tribunal de Kelaa Sraghna, 001518346000059,Societe a Responsabilite Limitee, 550 000 
SOUSS (STE D'ETUDES ET DE RECHERCHES MINIERES DU), l'achat la vente l'exploitation et la mise en valeur sous toutes ses formes y compris par voie de location de tous immeubles batis ou non etc, Avenue Lucien Saint,Agadir-Ida Ou Tanane,31.12001849999999 : -6.067919399999937, 2699,Tribunal de Marrakech,,Societe Anonyme, 5 000 000 
TRADING CONFECTION, exploitant un etablissement industriel pour la fabrication de vetements confectionnes, Rue Bouregreg Lot D'etat Secteur D N12 Q2 Hay Errahma,Sale,34.043816 : -6.792268, 1961,Tribunal de Sale,,Societe Anonyme, 200 000 
FIRST CONFECTION, fabricant de vetements, 62 Allee Des Oranges Ain Sebaa,Ain-Sebaa (AR),33.60597 : -7.54204, 64373,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 900 000 
